algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean
edd,all,48,1021431.6053741738,306.60537417389816,0.0,2.9166666666666665,1.5208333333333333,1.0208333333333333
edd,depot,48,2458928.1141153057,303.114115305535,0.0,2.9166666666666665,0.4375,2.4583333333333335
edd,phased,48,1229764.7450660348,306.41173270144856,0.0,2.9166666666666665,1.3958333333333333,1.2291666666666667
grasp,all,48,1926.2416135757871,281.2715460160166,137.83034008931037,2.6666666666666665,2.2083333333333335,0.0
grasp,depot,48,1252152.3404938984,289.1627589011717,159.23444016637904,2.7083333333333335,1.0208333333333333,1.25
grasp,phased,48,128008.15425297269,283.5530017312128,245.58512512414796,2.6875,2.0625,0.125
nearest,all,48,882108.5457305006,267.6763695652566,657.2119360935367,2.6875,1.375,0.875
nearest,depot,48,2319543.1651019487,262.1213093055268,651.2293792643306,2.6875,0.14583333333333334,2.3125
nearest,phased,48,1048775.5982179109,267.11237615349,657.3069175090791,2.6875,1.25,1.0416666666666667
sweep,all,48,758078.9808830653,251.2131118057938,754.4434437926199,2.8333333333333335,1.1041666666666667,0.75
sweep,depot,48,2049594.1834463603,244.2736131583523,739.9909833201849,2.8333333333333335,0.08333333333333333,2.0416666666666665
sweep,phased,48,841412.2804706487,251.17936605583395,754.4434437926199,2.8333333333333335,1.0208333333333333,0.8333333333333334
