instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C10,1,3,depot,1,edd,3000417.372635388,217.3726353879336,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,sweep,3000388.7112682476,188.71126824742169,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,nearest,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,depot,1,grasp,2001601.3001112852,217.37263538793363,118.39274758971897,2.0,0.0,2.0
c101C10,1,3,phased,2,edd,2000429.9777182958,229.97771829576425,0.0,2.0,1.0,2.0
c101C10,1,3,phased,2,sweep,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,nearest,1002771.0221061845,201.3163511552523,236.97057550292607,2.0,1.0,1.0
c101C10,1,3,phased,2,grasp,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,all,5,edd,430.51928317899797,230.51928317899797,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,sweep,399.2503988717391,199.2503988717391,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,nearest,2774.4600339767753,204.75427894751456,236.97057550292607,2.0,2.0,0.0
c101C10,1,3,all,5,grasp,399.2503988717391,199.25039887173912,0.0,2.0,2.0,0.0
c101C10,2,5,depot,1,edd,3000591.7837537024,291.78375370234176,0.0,3.0,0.0,3.0
c101C10,2,5,depot,1,sweep,3000947.153628936,263.1223865618298,38.40312423743285,3.0,0.0,3.0
c101C10,2,5,depot,1,nearest,2010932.6272437698,327.9600462863374,1030.466719748349,3.0,1.0,2.0
c101C10,2,5,depot,1,grasp,2000627.9600462862,327.96004628633744,0.0,3.0,1.0,2.0
c101C10,2,5,phased,3,edd,2000604.3888366101,304.3888366101724,0.0,3.0,1.0,2.0
c101C10,2,5,phased,3,sweep,1000956.1580542278,272.1268118534572,38.40312423743285,3.0,1.0,1.0
c101C10,2,5,phased,3,nearest,1010714.6971104888,322.84394260285114,1009.1853167885871,3.0,2.0,1.0
c101C10,2,5,phased,3,grasp,1000600.4898528947,300.48985289472705,0.0,3.0,1.0,1.0
c101C10,2,5,all,5,edd,604.9304014934062,304.9304014934061,0.0,3.0,2.0,0.0
c101C10,2,5,all,5,sweep,957.6927595604757,273.6615171861472,38.40312423743285,3.0,2.0,0.0
c101C10,2,5,all,5,nearest,10599.046970964257,305.9760665379863,999.3070904426269,3.0,2.0,0.0
c101C10,2,5,all,5,grasp,602.7432766530211,302.7432766530211,0.0,3.0,2.0,0.0
c101C10,3,8,depot,1,edd,4000815.953849772,415.9538497719389,0.0,4.0,0.0,4.0
c101C10,3,8,depot,1,sweep,4002273.8012599284,345.76067196364266,152.8040587964656,4.0,0.0,4.0
c101C10,3,8,depot,1,nearest,4008085.213617453,352.07698545021185,733.3136632002804,4.0,0.0,4.0
c101C10,3,8,depot,1,grasp,2000855.8785662584,455.8785662582723,0.0,4.0,2.0,2.0
c101C10,3,8,phased,4,edd,830.014144620322,430.01414462032193,0.0,4.0,3.0,0.0
c101C10,3,8,phased,4,sweep,1002291.8353884041,363.7948004394691,152.8040587964656,4.0,2.0,1.0
c101C10,3,8,phased,4,nearest,1008108.6104311552,375.47379915237286,733.3136632002804,4.0,3.0,1.0
c101C10,3,8,phased,4,grasp,851.7099558802763,451.7099558802763,0.0,4.0,4.0,0.0
c101C10,3,8,all,5,edd,822.0884476055292,422.0884476055292,0.0,4.0,2.0,0.0
c101C10,3,8,all,5,sweep,1002284.3403905527,356.2998025879601,152.8040587964656,4.0,2.0,1.0
c101C10,3,8,all,5,nearest,8130.952625278494,397.81599327568983,733.3136632002804,4.0,4.0,0.0
c101C10,3,8,all,5,grasp,829.430172204128,429.430172204128,0.0,4.0,3.0,0.0
c101C10,4,10,depot,1,edd,4001011.800022512,511.8000225121838,0.0,5.0,1.0,4.0
c101C10,4,10,depot,1,sweep,4010034.963363829,416.70548720020776,911.8257876629082,5.0,0.0,4.0
