algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,all,368,3948533.436377966,1780.054428714411,217.7023253599397,16.41576086956522,12.35054347826087,3.942934782608696,2.0816576036098844e-05
edd,depot,368,16428361.521097254,1777.6736654253784,102.92278666120676,16.41576086956522,2.989130434782609,16.42391304347826,1.8769565169508418e-05
edd,phased,368,3953969.699556641,1780.6462163695987,217.79120359233562,16.41576086956522,12.355978260869565,3.948369565217391,2.4010597836304047e-05
grasp,all,368,119530.39275731497,1373.1071385500595,801.5437792677961,14.46195652173913,10.30163043478261,0.10869565217391304,0.3759107391303548
grasp,depot,368,7323723.354460758,1364.1158066587113,1113.3966914968594,14.42663043478261,2.557065217391304,7.309782608695652,0.1306758554348028
grasp,phased,368,118987.42162675687,1375.8411765191513,746.5384798063808,14.505434782608695,10.388586956521738,0.10869565217391304,0.35879339157612894
mp_eavns,all,368,2511.2581760833305,1077.2115764699222,0.7416164830799374,14.266304347826088,6.059782608695652,0.0,3.8309692883152247
mp_eavns,depot,368,4828602.622776432,1068.4670254668667,1.0514446616882798,14.366847826086957,0.37228260869565216,4.826086956521739,1.870788110597825
mp_eavns,phased,368,16103.423506697882,1077.1651537985956,1.1312700725372606,14.279891304347826,6.057065217391305,0.01358695652173913,3.7280999364130345
nearest,all,368,1144809.8351766344,1269.847946312378,1437.7215491191466,14.453804347826088,7.616847826086956,1.127717391304348,0.00027129673917838574
nearest,depot,368,8762788.225901274,1268.7725926052399,1279.1464178233323,14.453804347826088,0.8722826086956522,8.747282608695652,0.0002681736412776682
nearest,phased,368,1169266.7375664222,1269.871927546082,1437.7572160615186,14.453804347826088,7.538043478260869,1.1521739130434783,0.0002740540761825959
sweep,all,368,1648492.6534148443,1305.7575866411123,1236.0265393420598,16.744565217391305,6.559782608695652,1.6331521739130435,1.5065489161197151e-05
sweep,depot,368,9565291.466792356,1298.0637794676497,1068.8511708540113,16.744565217391305,0.21739130434782608,9.55163043478261,1.2028260955602214e-05
sweep,phased,368,1667514.3866389818,1305.751680343732,1236.0265393420598,16.744565217391305,6.543478260869565,1.6521739130434783,1.62095108328725e-05
