instance,period,customers,station_policy,active_stations,algorithm,runtime_seconds,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C10,1,3,depot,1,edd,5.700000656361226e-06,3000417.372635388,217.3726353879336,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,sweep,4.499999704421498e-06,3000388.7112682476,188.71126824742169,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,nearest,1.2399999832268804e-05,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,depot,1,grasp,0.00023160000000643777,2001601.3001112852,217.37263538793363,118.39274758971897,2.0,0.0,2.0
c101C10,1,3,depot,1,mp_eavns,0.008051200000409153,2000529.381447911,229.3814479109881,0.0,3.0,0.0,2.0
c101C10,1,3,phased,2,edd,9.899999895424116e-06,2000429.9777182958,229.97771829576425,0.0,2.0,1.0,2.0
c101C10,1,3,phased,2,sweep,4.300000000512227e-06,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,nearest,9.699999282020144e-06,1002771.0221061845,201.3163511552523,236.97057550292607,2.0,1.0,1.0
c101C10,1,3,phased,2,grasp,0.00024169999960577115,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,mp_eavns,0.004078300000401214,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,all,5,edd,4.900000021734741e-06,430.51928317899797,230.51928317899797,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,sweep,3.099999958067201e-06,399.2503988717391,199.2503988717391,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,nearest,6.400000529538374e-06,2774.4600339767753,204.75427894751456,236.97057550292607,2.0,2.0,0.0
c101C10,1,3,all,5,grasp,0.00032300000020768493,399.2503988717391,199.25039887173912,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,mp_eavns,0.005859799999598181,399.2503988717391,199.2503988717391,0.0,2.0,2.0,0.0
c101C10,2,5,depot,1,edd,6.400000529538374e-06,3000591.7837537024,291.78375370234176,0.0,3.0,0.0,3.0
c101C10,2,5,depot,1,sweep,7.0000005507608876e-06,3000947.153628936,263.1223865618298,38.40312423743285,3.0,0.0,3.0
c101C10,2,5,depot,1,nearest,2.6000000616477337e-05,2010932.6272437698,327.9600462863374,1030.466719748349,3.0,1.0,2.0
c101C10,2,5,depot,1,grasp,0.0006596000002900837,2000627.9600462862,327.96004628633744,0.0,3.0,1.0,2.0
c101C10,2,5,depot,1,mp_eavns,0.011413399999582907,2000627.9600462862,327.96004628633744,0.0,3.0,1.0,2.0
c101C10,2,5,phased,3,edd,5.4000001910026185e-06,2000604.3888366101,304.3888366101724,0.0,3.0,1.0,2.0
c101C10,2,5,phased,3,sweep,4.200000148557592e-06,1000956.1580542278,272.1268118534572,38.40312423743285,3.0,1.0,1.0
c101C10,2,5,phased,3,nearest,1.1899999663000926e-05,1010714.6971104888,322.84394260285114,1009.1853167885871,3.0,2.0,1.0
c101C10,2,5,phased,3,grasp,0.0003839999999399879,1000600.4898528947,300.48985289472705,0.0,3.0,1.0,1.0
c101C10,2,5,phased,3,mp_eavns,0.012930599999890546,1000572.1268118535,272.12681185345724,0.0,3.0,1.0,1.0
c101C10,2,5,all,5,edd,5.600000804406591e-06,604.9304014934062,304.9304014934061,0.0,3.0,2.0,0.0
c101C10,2,5,all,5,sweep,5.100000635138713e-06,957.6927595604757,273.6615171861472,38.40312423743285,3.0,2.0,0.0
c101C10,2,5,all,5,nearest,1.3700000636163168e-05,10599.046970964257,305.9760665379863,999.3070904426269,3.0,2.0,0.0
c101C10,2,5,all,5,grasp,0.00044919999982084846,573.6615171861472,273.66151718614725,0.0,3.0,2.0,0.0
c101C10,2,5,all,5,mp_eavns,0.014901800000188814,573.6615171861472,273.66151718614725,0.0,3.0,2.0,0.0
c101C10,3,8,depot,1,edd,4.999999873689376e-06,4000815.953849772,415.9538497719389,0.0,4.0,0.0,4.0
c101C10,3,8,depot,1,sweep,3.6999999792897142e-06,4002273.8012599284,345.76067196364266,152.8040587964656,4.0,0.0,4.0
c101C10,3,8,depot,1,nearest,1.990000055229757e-05,4008085.213617453,352.07698545021185,733.3136632002804,4.0,0.0,4.0
c101C10,3,8,depot,1,grasp,0.0009790999993128935,2019210.0171312813,480.9979787256055,1832.901915255562,4.0,2.0,2.0
c101C10,3,8,depot,1,mp_eavns,0.03750659999968775,2000855.8785662584,455.8785662582723,0.0,4.0,2.0,2.0
c101C10,3,8,phased,4,edd,1.1099999937869143e-05,830.014144620322,430.01414462032193,0.0,4.0,3.0,0.0
c101C10,3,8,phased,4,sweep,6.300000677583739e-06,1002291.8353884041,363.7948004394691,152.8040587964656,4.0,2.0,1.0
c101C10,3,8,phased,4,nearest,2.4300000404764432e-05,1008108.6104311552,375.47379915237286,733.3136632002804,4.0,3.0,1.0
c101C10,3,8,phased,4,grasp,0.0012778999998772633,812.5966892226799,412.59668922267986,0.0,4.0,4.0,0.0
c101C10,3,8,phased,4,mp_eavns,0.050731899999846064,768.3258519429102,368.32585194291016,0.0,4.0,3.0,0.0
c101C10,3,8,all,5,edd,6.900000698806252e-06,822.0884476055292,422.0884476055292,0.0,4.0,2.0,0.0
c101C10,3,8,all,5,sweep,6.70000008540228e-06,1002284.3403905527,356.2998025879601,152.8040587964656,4.0,2.0,1.0
c101C10,3,8,all,5,nearest,2.049999966402538e-05,8130.952625278494,397.81599327568983,733.3136632002804,4.0,4.0,0.0
c101C10,3,8,all,5,grasp,0.0013727000005019363,807.004913830743,407.004913830743,0.0,4.0,4.0,0.0
c101C10,3,8,all,5,mp_eavns,0.04233649999969202,758.0655051217639,358.06550512176386,0.0,4.0,2.0,0.0
c101C10,4,10,depot,1,edd,8.999999408842996e-06,4001011.800022512,511.8000225121838,0.0,5.0,1.0,4.0
c101C10,4,10,depot,1,sweep,4.600000465870835e-06,4010034.963363829,416.70548720020776,911.8257876629082,5.0,0.0,4.0
c101C10,4,10,depot,1,nearest,2.5499999537714757e-05,4019287.662034588,427.51328257925707,1836.0148752008904,5.0,0.0,4.0
c101C10,4,10,depot,1,grasp,0.0009746000005179667,2006310.756584584,518.1225205106554,529.2634064073283,5.0,2.0,2.0
c101C10,4,10,depot,1,mp_eavns,0.059385999999904016,2001026.8233814947,526.8233814948373,0.0,5.0,2.0,2.0
c101C10,4,10,phased,5,edd,7.100000402715523e-06,1017.9346203457741,517.9346203457741,0.0,5.0,3.0,0.0
c101C10,4,10,phased,5,sweep,6.699999175907578e-06,1010045.5024944536,427.24461782452516,911.8257876629082,5.0,2.0,1.0
c101C10,4,10,phased,5,nearest,2.4200000552809797e-05,19309.252453283196,449.1037012742922,1836.0148752008904,5.0,4.0,0.0
c101C10,4,10,phased,5,grasp,0.001600999999936903,5154.623357223685,511.2557519769953,414.336760524669,5.0,4.0,0.0
c101C10,4,10,phased,5,mp_eavns,0.07932629999959318,929.010320358329,429.01032035832895,0.0,5.0,2.0,0.0
c101C10,4,10,all,5,edd,7.599999662488699e-06,1017.9346203457741,517.9346203457741,0.0,5.0,3.0,0.0
c101C10,4,10,all,5,sweep,7.900000127847306e-06,1010045.5024944536,427.24461782452516,911.8257876629082,5.0,2.0,1.0
c101C10,4,10,all,5,nearest,2.809999932651408e-05,19309.252453283196,449.1037012742922,1836.0148752008904,5.0,4.0,0.0
c101C10,4,10,all,5,grasp,0.001964099999895552,1989.1975999218812,530.0792960833724,95.91183038385088,5.0,4.0,0.0
c101C10,4,10,all,5,mp_eavns,0.06881929999963177,929.010320358329,429.01032035832895,0.0,5.0,2.0,0.0
c101C5,1,2,depot,1,edd,3.7999998312443495e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,depot,1,sweep,2.200000380980782e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,depot,1,nearest,7.499999810534064e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,depot,1,grasp,0.00013380000018514693,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,depot,1,mp_eavns,0.003096499999628577,302.54559344635004,102.54559344635005,0.0,2.0,0.0,0.0
c101C5,1,2,phased,2,edd,3.7999998312443495e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,sweep,5.199999577598646e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,nearest,5.599999894911889e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,phased,2,grasp,0.00016390000018873252,4730.212459896401,99.65733235000164,453.05551275463995,1.0,1.0,0.0
c101C5,1,2,phased,2,mp_eavns,0.0030893000002834015,302.54559344635004,102.54559344635005,0.0,2.0,0.0,0.0
c101C5,1,2,all,3,edd,1.8000000636675395e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,sweep,1.6999993022182025e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,nearest,4.200000148557592e-06,1000187.3283094778,87.32830947781493,0.0,1.0,0.0,1.0
c101C5,1,2,all,3,grasp,0.0001992999996218714,4730.212459896401,99.65733235000164,453.05551275463995,1.0,1.0,0.0
c101C5,1,2,all,3,mp_eavns,0.003432299999985844,302.54559344635004,102.54559344635005,0.0,2.0,0.0,0.0
c101C5,2,3,depot,1,edd,4.900000021734741e-06,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,depot,1,sweep,3.1999998100218363e-06,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,depot,1,nearest,4.400000034365803e-05,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,depot,1,grasp,0.00035399999978835694,5409.1351686715225,178.70332450498915,503.0431844166534,2.0,1.0,0.0
c101C5,2,3,depot,1,mp_eavns,0.009289300000091316,478.70332450498915,178.70332450498915,0.0,3.0,0.0,0.0
c101C5,2,3,phased,2,edd,4.499999704421498e-06,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,phased,2,sweep,4.000000444648322e-06,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,phased,2,nearest,1.680000059423037e-05,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,phased,2,grasp,0.0002260999999634805,5409.1351686715225,178.70332450498915,503.0431844166534,2.0,1.0,0.0
c101C5,2,3,phased,2,mp_eavns,0.00888669999949343,478.70332450498915,178.70332450498915,0.0,3.0,0.0,0.0
c101C5,2,3,all,3,edd,3.99999953515362e-06,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,all,3,sweep,4.399999852466863e-06,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,all,3,nearest,7.999999979801942e-06,1000363.4860405364,163.48604053645403,0.0,2.0,0.0,1.0
c101C5,2,3,all,3,grasp,0.00021110000034241239,4906.37019095504,175.81506340864075,453.05551275463995,2.0,1.0,0.0
c101C5,2,3,all,3,mp_eavns,0.008468400000310794,478.70332450498915,178.70332450498915,0.0,3.0,0.0,0.0
c101C5,3,4,depot,1,edd,3.100000867561903e-06,1000450.6851959083,250.68519590828714,0.0,2.0,1.0,1.0
c101C5,3,4,depot,1,sweep,2.2999993234407157e-06,2005903.4860405365,193.48604053645403,551.0,2.0,0.0,2.0
c101C5,3,4,depot,1,nearest,7.900000127847306e-06,2005903.4860405365,193.48604053645403,551.0,2.0,0.0,2.0
c101C5,3,4,depot,1,grasp,0.00037459999930433696,12276.541969160884,254.86105556362827,1182.1680913597256,2.0,2.0,0.0
c101C5,3,4,depot,1,mp_eavns,0.012160299999777635,554.8610555636283,254.86105556362827,0.0,3.0,1.0,0.0
c101C5,3,4,phased,3,edd,5.4000001910026185e-06,1000450.6851959083,250.68519590828714,0.0,2.0,1.0,1.0
c101C5,3,4,phased,3,sweep,4.600000465870835e-06,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,phased,3,nearest,1.049999991664663e-05,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,phased,3,grasp,0.0002930999999080086,10449.545098746155,208.98997119975738,1004.05551275464,2.0,2.0,0.0
c101C5,3,4,phased,3,mp_eavns,0.01280750000023545,537.2349692123698,237.23496921236978,0.0,3.0,1.0,0.0
c101C5,3,4,all,3,edd,5.4000001910026185e-06,1000450.6851959083,250.68519590828714,0.0,2.0,1.0,1.0
c101C5,3,4,all,3,sweep,4.70000031782547e-06,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,all,3,nearest,1.0099999599333387e-05,1005906.6609483276,196.66094832757065,551.0,2.0,1.0,1.0
c101C5,3,4,all,3,grasp,0.0003010000000358559,10449.545098746155,208.98997119975738,1004.05551275464,2.0,2.0,0.0
c101C5,3,4,all,3,mp_eavns,0.011870899999848916,537.2349692123698,237.23496921236978,0.0,3.0,1.0,0.0
c101C5,4,5,depot,1,edd,4.200000148557592e-06,1000451.8395758047,251.83957580467964,0.0,2.0,1.0,1.0
