instance,period,customers,station_policy,active_stations,algorithm,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C5,1,2,phased,2,edd,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,1,2,phased,2,sweep,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,1,2,phased,2,nearest,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,1,2,phased,2,grasp,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,1,2,all,3,edd,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,1,2,all,3,sweep,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,1,2,all,3,nearest,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,1,2,all,3,grasp,187.3283094778149,87.32830947781493,0.0,1.0,0.0,0.0
c101C5,2,3,phased,2,edd,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,phased,2,sweep,363.486040536454,163.48604053645403,0.0,2.0,0.0,0.0
c101C5,2,3,phased,2,nearest,363.486040536454,163.48604053645403,0.0,2.0,0.0,0.0
c101C5,2,3,phased,2,grasp,339.0703270882433,139.07032708824332,0.0,2.0,0.0,0.0
c101C5,2,3,all,3,edd,1000374.5274648496,174.52746484964803,0.0,2.0,0.0,1.0
c101C5,2,3,all,3,sweep,363.486040536454,163.48604053645403,0.0,2.0,0.0,0.0
c101C5,2,3,all,3,nearest,363.486040536454,163.48604053645403,0.0,2.0,0.0,0.0
c101C5,2,3,all,3,grasp,339.0703270882433,139.07032708824332,0.0,2.0,0.0,0.0
c101C5,3,4,phased,3,edd,2000450.6811053937,250.68110539358509,0.0,2.0,0.0,2.0
c101C5,3,4,phased,3,sweep,5906.660948327571,196.66094832757065,551.0,2.0,1.0,0.0
c101C5,3,4,phased,3,nearest,5906.660948327571,196.66094832757065,551.0,2.0,1.0,0.0
c101C5,3,4,phased,3,grasp,414.599010096201,214.59901009620106,0.0,2.0,1.0,0.0
c101C5,3,4,all,3,edd,2000450.6811053937,250.68110539358509,0.0,2.0,0.0,2.0
c101C5,3,4,all,3,sweep,5906.660948327571,196.66094832757065,551.0,2.0,1.0,0.0
c101C5,3,4,all,3,nearest,5906.660948327571,196.66094832757065,551.0,2.0,1.0,0.0
c101C5,3,4,all,3,grasp,414.599010096201,214.59901009620106,0.0,2.0,1.0,0.0
c101C5,4,5,phased,3,edd,2000451.83548529,251.83548528997758,0.0,2.0,0.0,2.0
c101C5,4,5,phased,3,sweep,1009990.5746423017,206.43651578671387,958.4138126514911,2.0,0.0,1.0
c101C5,4,5,phased,3,nearest,1002030.5746423017,206.43651578671387,162.41381265149107,2.0,0.0,1.0
c101C5,4,5,phased,3,grasp,1413.402716426754,228.17853339714225,98.52241830296117,2.0,1.0,0.0
c101C5,4,5,all,3,edd,2000451.83548529,251.83548528997758,0.0,2.0,0.0,2.0
c101C5,4,5,all,3,sweep,1009990.5746423017,206.43651578671387,958.4138126514911,2.0,0.0,1.0
c101C5,4,5,all,3,nearest,1002030.5746423017,206.43651578671387,162.41381265149107,2.0,0.0,1.0
c101C5,4,5,all,3,grasp,466.42781172253336,266.42781172253336,0.0,2.0,2.0,0.0
c101C10,1,3,phased,2,edd,1000429.9777182958,229.97771829576425,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,sweep,1000388.7112682475,188.71126824742169,0.0,2.0,0.0,1.0
c101C10,1,3,phased,2,nearest,2771.022106184513,201.3163511552523,236.97057550292607,2.0,1.0,0.0
