algorithm,station_policy,runs,objective_mean,distance_mean,tardiness_mean,routes_mean,recharges_mean,infeasible_legs_mean,runtime_seconds_mean
edd,all,144,2396570.7163196816,305.3314768623004,13.344039837482129,2.986111111111111,1.8819444444444444,2.3958333333333335,6.70833333692321e-06
edd,depot,144,4250660.746297378,297.55910695044213,6.45760793163847,2.986111111111111,0.4027777777777778,4.25,6.956944389457931e-06
edd,phased,144,2466015.5682526724,305.4392333315985,13.37401304521141,2.986111111111111,1.8263888888888888,2.4652777777777777,6.988888875033202e-06
grasp,all,144,600093.6564437319,286.9149386665711,230.67415050653258,2.7777777777777777,3.076388888888889,0.5972222222222222,0.0024013715277722745
grasp,depot,144,2689973.3844982656,269.4588075653804,193.03145795891368,2.736111111111111,0.7847222222222222,2.6875,0.0019600874999494205
grasp,phased,144,732072.1172254621,286.9554813160399,234.1411744146112,2.7708333333333335,2.986111111111111,0.7291666666666666,0.0026008534722197713
mp_eavns,all,144,417284.4202647061,258.9901564389844,6.779121937821476,2.9097222222222223,2.6041666666666665,0.4166666666666667,0.07791097222220363
mp_eavns,depot,144,2250563.113097544,251.84104467239217,1.0577608427092722,3.0069444444444446,0.4861111111111111,2.25,0.05197362222217331
mp_eavns,phased,144,493673.5586147983,260.0579783662665,6.8361747543130065,2.8958333333333335,2.5416666666666665,0.4930555555555556,0.07283997291666663
nearest,all,144,1962152.6763969986,267.8402824362829,327.78916701177656,2.736111111111111,1.5069444444444444,1.9583333333333333,2.1725694472883737e-05
nearest,depot,144,3392262.6684462,261.427170827512,283.8741275372682,2.736111111111111,0.2152777777777778,3.388888888888889,2.2648611124825242e-05
nearest,phased,144,1996874.7526401882,267.694303403707,327.78916701177656,2.736111111111111,1.4722222222222223,1.9930555555555556,2.1826388919837176e-05
sweep,all,144,1905797.6575381504,250.9937987036351,247.02748505578492,2.986111111111111,1.3611111111111112,1.9027777777777777,6.270833384607815e-06
sweep,depot,144,3648186.3682756736,244.89949998706643,180.95243312421223,2.986111111111111,0.0625,3.6458333333333335,5.306944381623503e-06
sweep,phased,144,1947466.6656459281,252.1818663375365,247.14282240350107,2.986111111111111,1.3472222222222223,1.9444444444444444,6.784722156933438e-06
