instance,period,customers,station_policy,active_stations,algorithm,runtime_seconds,objective,distance,tardiness,routes,recharges,infeasible_legs
c101C10,1,3,depot,1,edd,5.800000508315861e-06,3000417.372635388,217.3726353879336,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,sweep,4.100000296602957e-06,3000388.7112682476,188.71126824742169,0.0,2.0,0.0,3.0
c101C10,1,3,depot,1,nearest,1.160000010713702e-05,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,depot,1,grasp,0.00022360000002663583,2001886.45182301,229.3814479109881,145.70703750990492,2.0,1.0,2.0
c101C10,1,3,depot,1,mp_eavns,0.008308200000101351,2000529.381447911,229.3814479109881,0.0,3.0,0.0,2.0
c101C10,1,3,phased,2,edd,4.400000761961564e-06,2000429.9777182958,229.97771829576425,0.0,2.0,1.0,2.0
c101C10,1,3,phased,2,sweep,4.000000444648322e-06,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,nearest,7.999999979801942e-06,2002758.4170232767,188.71126824742169,236.97057550292607,2.0,0.0,2.0
c101C10,1,3,phased,2,grasp,0.0002795999998852494,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,phased,2,mp_eavns,0.004399600000397186,1000397.715693539,197.71569353904908,0.0,2.0,1.0,1.0
c101C10,1,3,all,5,edd,3.9000005926936865e-06,1000436.1110585709,236.1110585709348,0.0,2.0,2.0,1.0
c101C10,1,3,all,5,sweep,2.4000000848900527e-06,406.7453967232481,206.74539672324812,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,nearest,6.50000038149301e-06,1002767.4467264608,197.74097143162078,236.97057550292607,2.0,1.0,1.0
c101C10,1,3,all,5,grasp,0.0003361999997650855,406.7453967232482,206.74539672324818,0.0,2.0,2.0,0.0
c101C10,1,3,all,5,mp_eavns,0.005643100000270351,406.7453967232481,206.74539672324812,0.0,2.0,2.0,0.0
c101C10,2,5,depot,1,edd,3.7999998312443495e-06,4000591.7837537024,291.78375370234176,0.0,3.0,0.0,4.0
c101C10,2,5,depot,1,sweep,3.1999998100218363e-06,4000947.153628936,263.1223865618298,38.40312423743285,3.0,0.0,4.0
c101C10,2,5,depot,1,nearest,1.1399999493733048e-05,4007644.0654903087,296.86503884211805,704.7200451466693,3.0,0.0,4.0
c101C10,2,5,depot,1,grasp,0.00037229999998089625,3002444.8941836986,303.79256622539623,184.11016174733777,3.0,1.0,3.0
c101C10,2,5,depot,1,mp_eavns,0.022196799999619543,3000703.7925662254,303.79256622539623,0.0,4.0,0.0,3.0
c101C10,2,5,phased,3,edd,5.899999450775795e-06,2000608.807192806,308.80719280581724,0.0,3.0,2.0,2.0
c101C10,2,5,phased,3,sweep,5.700000656361226e-06,1000968.6586203021,284.6273779278108,38.40312423743285,3.0,2.0,1.0
c101C10,2,5,phased,3,nearest,1.9699999938893598e-05,2010706.5103837766,314.6572158906654,1009.1853167885871,3.0,2.0,2.0
c101C10,2,5,phased,3,grasp,0.0008933999997680075,2001000.9206450589,316.88940268452603,38.40312423743285,3.0,2.0,2.0
c101C10,2,5,phased,3,mp_eavns,0.019149499999912223,1000576.545168049,276.5451680491021,0.0,3.0,2.0,1.0
c101C10,2,5,all,5,edd,4.800000169780105e-06,1000614.940533081,314.9405330809878,0.0,3.0,3.0,1.0
c101C10,2,5,all,5,sweep,4.900000021734741e-06,977.6883234863383,293.65708111200985,38.40312423743285,3.0,3.0,0.0
c101C10,2,5,all,5,nearest,1.340000017080456e-05,1010715.5400869608,323.6869190748644,1009.1853167885871,3.0,3.0,1.0
c101C10,2,5,all,5,grasp,0.000478300000395393,585.5748712333011,285.5748712333011,0.0,3.0,3.0,0.0
c101C10,2,5,all,5,mp_eavns,0.017106000000239874,585.5748712333011,285.5748712333011,0.0,3.0,3.0,0.0
c101C10,3,8,depot,1,edd,4.600000465870835e-06,7000815.953849772,415.9538497719389,0.0,4.0,0.0,7.0
c101C10,3,8,depot,1,sweep,3.4000004234258085e-06,6001129.791914338,345.76067196364266,38.40312423743285,4.0,0.0,6.0
c101C10,3,8,depot,1,nearest,1.8200000340584666e-05,5008085.213617453,352.07698545021185,733.3136632002804,4.0,0.0,5.0
c101C10,3,8,depot,1,grasp,0.0008598000003985362,4017804.299079275,349.20227639847934,1705.5096802876633,4.0,0.0,4.0
c101C10,3,8,depot,1,mp_eavns,0.029893300000367162,4000781.817204911,381.81720491060594,0.0,4.0,1.0,4.0
c101C10,3,8,phased,4,edd,6.000000212225132e-06,2000843.332324841,443.3323248409807,0.0,4.0,4.0,2.0
c101C10,3,8,phased,4,sweep,5.9000003602704965e-06,2484.3860659376924,379.0182677589372,170.53677981787553,4.0,4.0,0.0
c101C10,3,8,phased,4,nearest,1.9099999917671084e-05,8114.751012873173,381.61438087036834,733.3136632002804,4.0,4.0,0.0
c101C10,3,8,phased,4,grasp,0.001226400000632566,3604.5640642495036,381.3259884556921,282.3238075793812,4.0,4.0,0.0
c101C10,3,8,phased,4,mp_eavns,0.05370260000017879,769.9021723398407,369.9021723398407,0.0,4.0,4.0,0.0
c101C10,3,8,all,5,edd,6.100000064179767e-06,2000843.332324841,443.3323248409807,0.0,4.0,4.0,2.0
c101C10,3,8,all,5,sweep,6.000000212225132e-06,2484.3860659376924,379.0182677589372,170.53677981787553,4.0,4.0,0.0
c101C10,3,8,all,5,nearest,1.9500000234984327e-05,8114.751012873173,381.61438087036834,733.3136632002804,4.0,4.0,0.0
